brand_name,generic_name,status,earliest_expiry,days_until,category,route,strength,approval_date,patent_count,approval_year,approval_month,brand_price_monthly,brand_price_annual,generic_price_monthly,generic_price_annual,monthly_savings,annual_savings,savings_percent,generic_available
SINUVA,MOMETASONE FUROATE,Active,2026-04-04,15,Other,IMPLANT;IMPLANTATION,1.35MG,2017-12-08,7,2017.0,12.0,451.24,5414.88,,,,,,No
FLONASE SENSIMIST ALLERGY RELIEF,FLUTICASONE FUROATE,Active,2026-04-05,16,Other,"SPRAY, METERED;NASAL",0.0275MG/SPRAY,2016-08-02,3,2016.0,8.0,279.75,3357.0,,,,,,No
SAPHRIS,ASENAPINE MALEATE,Active,2026-04-06,17,Oral,TABLET;SUBLINGUAL,EQ 2.5MG BASE,2015-03-12,21,2015.0,3.0,305.51,3666.12,,,,,,No
ADZENYS XR-ODT,AMPHETAMINE,Active,2026-04-09,20,Oral,"TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL",EQ 3.1MG BASE,2016-01-27,30,2016.0,1.0,666.55,7998.6,,,,,,No
JUVISYNC,SIMVASTATIN; SITAGLIPTIN PHOSPHATE,Active,2026-04-11,22,Oral,TABLET;ORAL,10MG;EQ 50MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2012-09-18,12,2012.0,9.0,667.08,8004.96,,,,,,No
REXULTI,BREXPIPRAZOLE,Active,2026-04-12,23,Oral,TABLET;ORAL,0.25MG,2015-07-10,88,2015.0,7.0,706.95,8483.4,,,,,,No
JATENZO,TESTOSTERONE UNDECANOATE,Active,2026-04-14,25,Oral,CAPSULE;ORAL,158MG,2019-03-27,30,2019.0,3.0,739.27,8871.24,,,,,,No
AURYXIA,FERRIC CITRATE,Active,2026-04-21,32,Oral,TABLET;ORAL,EQ 210MG IRON,2014-09-05,3,2014.0,9.0,457.94,5495.28,,,,,,No
ZYKADIA,CERITINIB,Active,2026-04-25,36,Oral,CAPSULE;ORAL,150MG,2014-04-29,15,2014.0,4.0,451.06,5412.72,,,,,,No
ORENITRAM,TREPROSTINIL DIOLAMINE,Active,2026-04-27,38,Oral,"TABLET, EXTENDED RELEASE;ORAL",EQ 0.125MG BASE,2013-12-20,45,2013.0,12.0,658.81,7905.72,,,,,,No
APRETUDE,CABOTEGRAVIR,Active,2026-04-28,39,Other,"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",600MG/3ML (200MG/ML),2021-12-20,4,2021.0,12.0,424.98,5099.76,,,,,,No
VOCABRIA,CABOTEGRAVIR SODIUM,Active,2026-04-28,39,Oral,TABLET;ORAL,EQ 30MG BASE,2021-01-21,2,2021.0,1.0,591.38,7096.56,,,,,,No
ABILIFY MYCITE KIT,ARIPIPRAZOLE,Active,2026-04-28,39,Oral,TABLET;ORAL,2MG,2017-11-13,162,2017.0,11.0,657.05,7884.6,,,,,,No
TOSYMRA,SUMATRIPTAN,Active,2026-05-09,50,Other,SPRAY;NASAL,10MG/SPRAY,2019-01-25,9,2019.0,1.0,545.0,6540.0,,,,,,No
MYDAYIS,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,Active,2026-05-12,53,Oral,"CAPSULE, EXTENDED RELEASE;ORAL",3.125MG;3.125MG;3.125MG;3.125MG,2017-06-20,8,2017.0,6.0,336.6,4039.2,,,,,,No
NATAZIA,DIENOGEST; ESTRADIOL VALERATE,Active,2026-05-13,54,Oral,TABLET;ORAL,"N/A,2MG,3MG,N/A,N/A;3MG,2MG,2MG,1MG,N/A",2010-05-06,2,2010.0,5.0,362.91,4354.92,,,,,,No
TRACLEER,BOSENTAN,Active,2026-05-15,56,Oral,"TABLET, FOR SUSPENSION;ORAL",32MG,2017-09-05,2,2017.0,9.0,165.79,1989.48,,,,,,No
XTANDI,ENZALUTAMIDE,Active,2026-05-15,56,Oral,CAPSULE;ORAL,40MG,2012-08-31,47,2012.0,8.0,504.8,6057.6,,,,,,No
DEFENCATH,HEPARIN SODIUM; TAUROLIDINE,Active,2026-05-16,57,Other,SOLUTION;N/A,"3,000 UNITS/3ML (1,000 UNITS/ML);40.5MG/3ML (13.5MG/ML)",2023-11-15,4,2023.0,11.0,117.97,1415.64,,,,,,No
SORILUX,CALCIPOTRIENE,Active,2026-05-26,67,Respiratory,"AEROSOL, FOAM;TOPICAL",0.005%,2010-10-06,5,2010.0,10.0,359.52,4314.24,,,,,,No
TOPICORT,DESOXIMETASONE,Active,2026-05-26,67,Topical,SPRAY;TOPICAL,0.25%,2013-04-11,2,2013.0,4.0,253.65,3043.8,,,,,,No
ZELSUVMI,BERDAZIMER SODIUM,Active,2026-05-30,71,Topical,GEL;TOPICAL,EQ 10.3% BASE,2024-01-05,22,2024.0,1.0,171.69,2060.28,,,,,,No
MAVENCLAD,CLADRIBINE,Active,2026-05-31,72,Oral,TABLET;ORAL,10MG,2019-03-29,3,2019.0,3.0,513.58,6162.96,,,,,,No
OMONTYS PRESERVATIVE FREE,PEGINESATIDE ACETATE,Active,2026-06-02,74,Injectable,"SOLUTION;INTRAVENOUS, SUBCUTANEOUS",EQ 1MG BASE/0.5ML (EQ 1MG BASE/0.5ML),2012-03-27,12,2012.0,3.0,576.25,6915.0,,,,,,No
OMONTYS,PEGINESATIDE ACETATE,Active,2026-06-02,74,Injectable,"SOLUTION;INTRAVENOUS, SUBCUTANEOUS",EQ 10MG BASE/ML (EQ 10MG BASE/ML),2012-03-27,4,2012.0,3.0,593.37,7120.44,,,,,,No
AXIRON,TESTOSTERONE,Active,2026-06-02,74,Other,"SOLUTION, METERED;TRANSDERMAL",30MG/1.5ML ACTUATION **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2010-11-23,6,2010.0,11.0,511.3,6135.6,,,,,,No
COTEMPLA XR-ODT,METHYLPHENIDATE,Active,2026-06-05,77,Oral,"TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL",8.6MG,2017-06-19,12,2017.0,6.0,352.13,4225.56,,,,,,No
SUNOSI,SOLRIAMFETOL HYDROCHLORIDE,Active,2026-06-07,79,Oral,TABLET;ORAL,EQ 75MG BASE,2019-06-17,81,2019.0,6.0,188.94,2267.28,,,,,,No
ATRIPLA,EFAVIRENZ; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,Active,2026-06-13,85,Oral,TABLET;ORAL,600MG;200MG;300MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2006-07-12,5,2006.0,7.0,465.57,5586.84,,,,,,No
CAMBIA,DICLOFENAC POTASSIUM,Active,2026-06-16,88,Oral,FOR SOLUTION;ORAL,50MG,2009-06-17,4,2009.0,6.0,639.0,7668.0,,,,,,No
SUPPRELIN LA,HISTRELIN ACETATE,Active,2026-06-16,88,Injectable,IMPLANT;SUBCUTANEOUS,50MG,2007-05-03,1,2007.0,5.0,1039.55,12474.6,,,,,,No
TRINTELLIX,VORTIOXETINE HYDROBROMIDE,Active,2026-06-17,89,Oral,TABLET;ORAL,EQ 5MG BASE,2013-09-30,80,2013.0,9.0,536.02,6432.24,,,,,,No
ZELBORAF,VEMURAFENIB,Active,2026-06-21,93,Oral,TABLET;ORAL,240MG,2011-08-17,7,2011.0,8.0,159.74,1916.88,,,,,,No
FILSUVEZ,BIRCH TRITERPENES,Active,2026-06-21,93,Topical,GEL;TOPICAL,10%,2023-12-18,6,2023.0,12.0,96.54,1158.48,,,,,,No
CERDELGA,ELIGLUSTAT TARTRATE,Active,2026-06-26,98,Oral,CAPSULE;ORAL,EQ 84MG BASE,2014-08-19,8,2014.0,8.0,471.95,5663.4,,,,,,No
PERSERIS KIT,RISPERIDONE,Active,2026-06-26,98,Injectable,"FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS",90MG,2018-07-27,20,2018.0,7.0,1851.59,22219.08,,,,,,No
APLENZIN,BUPROPION HYDROBROMIDE,Active,2026-06-27,99,Oral,"TABLET, EXTENDED RELEASE;ORAL",174MG,2008-04-23,24,2008.0,4.0,546.2,6554.4,,,,,,No
VALTURNA,ALISKIREN HEMIFUMARATE; VALSARTAN,Active,2026-07-03,105,Oral,TABLET;ORAL,EQ 150MG BASE;160MG,2009-09-16,2,2009.0,9.0,608.26,7299.12,,,,,,No
ROCKLATAN,LATANOPROST; NETARSUDIL DIMESYLATE,Active,2026-07-11,113,Eye Care,SOLUTION/DROPS;OPHTHALMIC,0.005%;EQ 0.02% BASE,2019-03-12,17,2019.0,3.0,490.34,5884.08,,,,,,No
RHOPRESSA,NETARSUDIL MESYLATE,Active,2026-07-11,113,Eye Care,SOLUTION/DROPS;OPHTHALMIC,EQ 0.02% BASE,2017-12-18,15,2017.0,12.0,306.52,3678.24,,,,,,No
TASIGNA,NILOTINIB HYDROCHLORIDE,Active,2026-07-18,120,Oral,CAPSULE;ORAL,EQ 50MG BASE,2018-03-22,42,2018.0,3.0,326.07,3912.84,,,,,,No
DUEXIS,FAMOTIDINE; IBUPROFEN,Active,2026-07-18,120,Oral,TABLET;ORAL,26.6MG;800MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2011-04-23,5,2011.0,4.0,656.63,7879.56,,,,,,No
MITOSOL,MITOMYCIN,Active,2026-07-19,121,Topical,FOR SOLUTION;TOPICAL,0.2MG/VIAL,2012-02-07,5,2012.0,2.0,166.67,2000.04,,,,,,No
AKTEN,LIDOCAINE HYDROCHLORIDE,Active,2026-07-24,126,Eye Care,GEL;OPHTHALMIC,3.5%,2008-10-07,1,2008.0,10.0,275.59,3307.08,,,,,,No
ONGENTYS,OPICAPONE,Active,2026-07-26,128,Oral,CAPSULE;ORAL,25MG,2020-04-24,22,2020.0,4.0,154.92,1859.04,,,,,,No
ACTOPLUS MET XR,METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE,Active,2026-07-31,133,Oral,"TABLET, EXTENDED RELEASE;ORAL",1GM;EQ 15MG BASE,2009-05-12,4,2009.0,5.0,117.75,1413.0,,,,,,No
SUMAVEL DOSEPRO,SUMATRIPTAN SUCCINATE,Active,2026-07-31,133,Injectable,INJECTABLE;SUBCUTANEOUS,EQ 6MG BASE/0.5ML (EQ 12MG BASE/ML),2009-07-15,2,2009.0,7.0,2906.62,34879.44,,,,,,No
LIVDELZI,SELADELPAR LYSINE,Active,2026-08-02,135,Oral,CAPSULE;ORAL,EQ 10MG BASE,2024-08-14,6,2024.0,8.0,685.19,8222.28,,,,,,No
GIAZO,BALSALAZIDE DISODIUM,Active,2026-08-02,135,Oral,TABLET;ORAL,1.1GM **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2012-02-03,4,2012.0,2.0,587.18,7046.16,,,,,,No
BELEODAQ,BELINOSTAT,Active,2026-08-10,143,Injectable,POWDER;INTRAVENOUS,500MG/VIAL,2014-07-03,2,2014.0,7.0,1522.38,18268.56,,,,,,No
NUEDEXTA,DEXTROMETHORPHAN HYDROBROMIDE; QUINIDINE SULFATE,Active,2026-08-13,146,Oral,CAPSULE;ORAL,20MG;10MG,2010-10-29,1,2010.0,10.0,221.31,2655.72,,,,,,No
COMETRIQ,CABOZANTINIB S-MALATE,Active,2026-08-14,147,Oral,CAPSULE;ORAL,EQ 20MG BASE,2012-11-29,16,2012.0,11.0,209.51,2514.12,,,,,,No
OVIDE,MALATHION,Active,2026-08-14,147,Topical,LOTION;TOPICAL,0.5% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1982-08-02,2,1982.0,8.0,160.08,1920.96,,,,,,No
CABOMETYX,CABOZANTINIB S-MALATE,Active,2026-08-14,147,Oral,TABLET;ORAL,EQ 20MG BASE,2016-04-25,60,2016.0,4.0,484.46,5813.52,,,,,,No
ISTURISA,OSILODROSTAT PHOSPHATE,Active,2026-08-23,156,Oral,TABLET;ORAL,EQ 1MG BASE,2020-03-06,22,2020.0,3.0,600.22,7202.64,,,,,,No
COLAZAL,BALSALAZIDE DISODIUM,Active,2026-08-24,157,Oral,CAPSULE;ORAL,750MG,2000-07-18,4,2000.0,7.0,562.14,6745.68,,,,,,No
STRIBILD,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,Active,2026-08-27,160,Oral,TABLET;ORAL,150MG;150MG;200MG;300MG,2012-08-27,14,2012.0,8.0,295.95,3551.4,,,,,,No
VITEKTA,ELVITEGRAVIR,Active,2026-08-27,160,Oral,TABLET;ORAL,85MG,2014-09-24,12,2014.0,9.0,768.41,9220.92,,,,,,No
NEXPLANON,ETONOGESTREL,Active,2026-08-28,161,Other,IMPLANT;IMPLANTATION,68MG/IMPLANT,2011-05-13,4,2011.0,5.0,468.95,5627.4,,,,,,No
BYVALSON,NEBIVOLOL HYDROCHLORIDE; VALSARTAN,Active,2026-08-29,162,Oral,TABLET;ORAL,EQ 5MG BASE;80MG,2016-06-03,2,2016.0,6.0,488.05,5856.6,,,,,,No
LINZESS,LINACLOTIDE,Active,2026-08-30,163,Oral,CAPSULE;ORAL,72MCG,2017-01-25,42,2017.0,1.0,528.2,6338.4,,,,,,No
SAMSCA,TOLVAPTAN,Active,2026-09-01,165,Oral,TABLET;ORAL,15MG,2009-05-19,6,2009.0,5.0,393.72,4724.64,,,,,,No
JYNARQUE,TOLVAPTAN,Active,2026-09-01,165,Oral,TABLET;ORAL,15MG,2018-04-23,10,2018.0,4.0,273.41,3280.92,,,,,,No
CLOROTEKAL,CHLOROPROCAINE HYDROCHLORIDE,Active,2026-09-05,169,Other,SOLUTION;INTRATHECAL,50MG/5ML (10MG/ML),2017-09-26,2,2017.0,9.0,277.99,3335.88,,,,,,No
AUBAGIO,TERIFLUNOMIDE,Active,2026-09-12,176,Oral,TABLET;ORAL,7MG,2012-09-12,12,2012.0,9.0,630.49,7565.88,,,,,,No
REZDIFFRA,RESMETIROM,Active,2026-09-12,176,Oral,TABLET;ORAL,60MG,2024-03-14,18,2024.0,3.0,110.08,1320.96,,,,,,No
LYNKUET,ELINZANETANT,Active,2026-09-15,179,Oral,CAPSULE;ORAL,60MG,2025-10-24,5,2025.0,10.0,181.25,2175.0,,,,,,No
ESBRIET,PIRFENIDONE,Active,2026-09-22,186,Oral,CAPSULE;ORAL,267MG,2014-10-15,148,2014.0,10.0,132.2,1586.4,,,,,,No
SENSIPAR,CINACALCET HYDROCHLORIDE,Active,2026-09-22,186,Oral,TABLET;ORAL,EQ 30MG BASE,2004-03-08,6,2004.0,3.0,128.51,1542.12,,,,,,No
ARICEPT,DONEPEZIL HYDROCHLORIDE,Active,2026-10-04,198,Oral,TABLET;ORAL,23MG,2010-07-23,1,2010.0,7.0,698.82,8385.84,,,,,,No
COTELLIC,COBIMETINIB FUMARATE,Active,2026-10-05,199,Oral,TABLET;ORAL,EQ 20MG BASE,2015-11-10,13,2015.0,11.0,592.56,7110.72,,,,,,No
SYMPROIC,NALDEMEDINE TOSYLATE,Active,2026-10-05,199,Oral,TABLET;ORAL,EQ 0.2MG BASE,2017-03-23,5,2017.0,3.0,431.92,5183.04,,,,,,No
COMBIVENT RESPIMAT,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,Active,2026-10-10,204,Respiratory,"SPRAY, METERED;INHALATION",EQ 0.1MG BASE/INH;0.02MG/INH,2011-10-07,4,2011.0,10.0,194.03,2328.36,,,,,,No
ANDROGEL,TESTOSTERONE,Active,2026-10-12,206,Other,"GEL, METERED;TRANSDERMAL",1.62% (20.25MG/1.25GM ACTUATION),2011-04-29,24,2011.0,4.0,345.81,4149.72,,,,,,No
ADASUVE,LOXAPINE,Active,2026-10-23,217,Respiratory,POWDER;INHALATION,10MG,2012-12-21,1,2012.0,12.0,363.06,4356.72,,,,,,No
SYFOVRE,PEGCETACOPLAN,Active,2026-10-25,219,Other,SOLUTION;INTRAVITREAL,15MG/0.1ML (15MG/0.1ML),2023-02-17,15,2023.0,2.0,186.6,2239.2,,,,,,No
SIGNIFOR LAR KIT,PASIREOTIDE PAMOATE,Active,2026-10-25,219,Other,FOR SUSPENSION;INTRAMUSCULAR,EQ 10MG BASE/VIAL,2018-06-29,15,2018.0,6.0,316.93,3803.16,,,,,,No
SYNRIBO,OMACETAXINE MEPESUCCINATE,Active,2026-10-26,220,Injectable,POWDER;SUBCUTANEOUS,3.5MG/VIAL,2012-10-26,1,2012.0,10.0,1496.26,17955.12,,,,,,No
XEGLYZE,ABAMETAPIR,Active,2026-10-28,222,Topical,LOTION;TOPICAL,0.74%,2020-07-24,2,2020.0,7.0,277.07,3324.84,,,,,,No
UPTRAVI,SELEXIPAG,Active,2026-10-31,225,Injectable,POWDER;INTRAVENOUS,1.8MG/VIAL,2021-07-29,52,2021.0,7.0,2087.73,25052.76,,,,,,No
LYRICA CR,PREGABALIN,Active,2026-11-02,227,Oral,"TABLET, EXTENDED RELEASE;ORAL",82.5MG,2017-10-11,24,2017.0,10.0,131.71,1580.52,,,,,,No
BEVYXXA,BETRIXABAN,Active,2026-11-07,232,Oral,CAPSULE;ORAL,40MG,2017-06-23,12,2017.0,6.0,362.23,4346.76,,,,,,No
ORKAMBI,IVACAFTOR; LUMACAFTOR,Active,2026-11-08,233,Oral,GRANULE;ORAL,94MG/PACKET;75MG/PACKET,2022-09-02,220,2022.0,9.0,538.1,6457.2,,,,,,No
EOHILIA,BUDESONIDE,Active,2026-11-09,234,Oral,SUSPENSION;ORAL,2MG/10ML,2024-02-09,12,2024.0,2.0,452.2,5426.4,,,,,,No
SOFDRA,SOFPIRONIUM BROMIDE,Active,2026-11-13,238,Topical,"GEL, METERED;TOPICAL",EQ 12.45% BASE (EQ 72MG BASE/ACTUATION),2024-06-18,20,2024.0,6.0,354.08,4248.96,,,,,,No
HERNEXEOS,ZONGERTINIB,Active,2026-11-15,240,Oral,TABLET;ORAL,60MG,2025-08-08,2,2025.0,8.0,561.09,6733.08,,,,,,No
TUKYSA,TUCATINIB,Active,2026-11-16,241,Oral,TABLET;ORAL,50MG,2020-04-17,18,2020.0,4.0,214.05,2568.6,,,,,,No
ELIQUIS SPRINKLE,APIXABAN,Active,2026-11-21,246,Oral,FOR SUSPENSION;ORAL,0.15MG,2025-04-17,4,2025.0,4.0,149.4,1792.8,,,,,,No
ELIQUIS,APIXABAN,Active,2026-11-21,246,Oral,"TABLET, FOR SUSPENSION;ORAL",0.5MG,2025-04-17,25,2025.0,4.0,549.69,6596.28,,,,,,No
JANUVIA,SITAGLIPTIN PHOSPHATE,Active,2026-11-24,249,Oral,TABLET;ORAL,EQ 25MG BASE,2006-10-16,6,2006.0,10.0,118.56,1422.72,,,,,,No
JANUMET,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,Active,2026-11-24,249,Oral,TABLET;ORAL,1GM;EQ 50MG BASE,2007-03-30,8,2007.0,3.0,510.04,6120.48,,,,,,No
STEGLUJAN,ERTUGLIFLOZIN; SITAGLIPTIN PHOSPHATE,Active,2026-11-24,249,Oral,TABLET;ORAL,5MG;EQ 100MG BASE,2017-12-19,10,2017.0,12.0,758.16,9097.92,,,,,,No
CALQUENCE,ACALABRUTINIB,Active,2026-11-24,249,Oral,CAPSULE;ORAL,100MG,2017-10-31,61,2017.0,10.0,502.83,6033.96,,,,,,No
JANUMET XR,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,Active,2026-11-24,249,Oral,"TABLET, EXTENDED RELEASE;ORAL",1GM;EQ 50MG BASE,2012-02-02,6,2012.0,2.0,371.72,4460.64,,,,,,No
ZTALMY,GANAXOLONE,Active,2026-11-28,253,Oral,SUSPENSION;ORAL,50MG/ML,2022-06-01,11,2022.0,6.0,550.3,6603.6,,,,,,No
AXUMIN,FLUCICLOVINE F-18,Active,2026-11-28,253,Injectable,SOLUTION;INTRAVENOUS,9-221mCi/ML,2016-05-27,8,2016.0,5.0,1645.63,19747.56,,,,,,No
SIRTURO,BEDAQUILINE FUMARATE,Active,2026-12-01,256,Oral,TABLET;ORAL,EQ 20MG BASE,2020-05-27,4,2020.0,5.0,481.93,5783.16,,,,,,No
ZUNVEYL,BENZGALANTAMINE GLUCONATE,Active,2026-12-01,256,Oral,"TABLET, DELAYED RELEASE;ORAL",EQ 5MG BASE,2024-07-26,9,2024.0,7.0,759.03,9108.36,,,,,,No
CLINDESSE,CLINDAMYCIN PHOSPHATE,Active,2026-12-02,257,Topical,CREAM;VAGINAL,EQ 2% BASE,2004-11-30,1,2004.0,11.0,203.55,2442.6,,,,,,No
ADEMPAS,RIOCIGUAT,Active,2026-12-04,259,Oral,TABLET;ORAL,0.5MG,2013-10-08,25,2013.0,10.0,772.83,9273.96,,,,,,No
AZILECT,RASAGILINE MESYLATE,Active,2026-12-05,260,Oral,TABLET;ORAL,EQ 0.5MG BASE,2006-05-16,4,2006.0,5.0,733.75,8805.0,,,,,,No
MOXATAG,AMOXICILLIN,Active,2026-12-08,263,Oral,"TABLET, EXTENDED RELEASE;ORAL",775MG,2008-01-23,3,2008.0,1.0,237.05,2844.6,,,,,,No
JAKAFI,RUXOLITINIB PHOSPHATE,Active,2026-12-12,267,Oral,TABLET;ORAL,EQ 5MG BASE,2011-11-16,145,2011.0,11.0,148.55,1782.6,,,,,,No
OPZELURA,RUXOLITINIB PHOSPHATE,Active,2026-12-12,267,Topical,CREAM;TOPICAL,EQ 1.5% BASE,2021-09-21,36,2021.0,9.0,112.25,1347.0,,,,,,No
INREBIC,FEDRATINIB HYDROCHLORIDE,Active,2026-12-16,271,Oral,CAPSULE;ORAL,EQ 100MG BASE,2019-08-16,5,2019.0,8.0,112.76,1353.12,,,,,,No
PICATO,INGENOL MEBUTATE,Active,2026-12-18,273,Topical,GEL;TOPICAL,0.015%,2012-01-23,23,2012.0,1.0,110.22,1322.64,,,,,,No
VYNDAMAX,TAFAMIDIS,Active,2026-12-19,274,Oral,CAPSULE;ORAL,61MG,2019-05-03,3,2019.0,5.0,578.1,6937.2,,,,,,No
VYNDAQEL,TAFAMIDIS MEGLUMINE,Active,2026-12-19,274,Oral,CAPSULE;ORAL,20MG,2019-05-03,2,2019.0,5.0,149.83,1797.96,,,,,,No
VYKAT XR,DIAZOXIDE CHOLINE,Active,2026-12-20,275,Oral,"TABLET, EXTENDED RELEASE;ORAL",25MG,2025-03-26,18,2025.0,3.0,323.28,3879.36,,,,,,No
ICLUSIG,PONATINIB HYDROCHLORIDE,Active,2026-12-22,277,Oral,TABLET;ORAL,EQ 10MG BASE,2020-12-18,68,2020.0,12.0,691.41,8296.92,,,,,,No
PREZISTA,DARUNAVIR,Active,2026-12-26,281,Oral,SUSPENSION;ORAL,100MG/ML,2011-12-16,14,2011.0,12.0,116.29,1395.48,,,,,,No
PREZCOBIX,COBICISTAT; DARUNAVIR ETHANOLATE,Active,2026-12-26,281,Oral,TABLET;ORAL,150MG;EQ 675MG BASE,2025-03-21,10,2025.0,3.0,670.13,8041.56,,,,,,No
IMBRUVICA,IBRUTINIB,Active,2026-12-28,283,Oral,CAPSULE;ORAL,70MG,2017-12-20,703,2017.0,12.0,297.3,3567.6,,,,,,No
VIBATIV,TELAVANCIN HYDROCHLORIDE,Active,2027-01-01,287,Injectable,POWDER;INTRAVENOUS,EQ 250MG BASE/VIAL,2009-09-11,2,2009.0,9.0,795.41,9544.92,,,,,,No
DSUVIA,SUFENTANIL CITRATE,Active,2027-01-05,291,Oral,TABLET;SUBLINGUAL,EQ 0.03MG BASE,2018-11-02,21,2018.0,11.0,587.72,7052.64,,,,,,No
HALAVEN,ERIBULIN MESYLATE,Active,2027-01-08,294,Injectable,SOLUTION;INTRAVENOUS,1MG/2ML (0.5MG/ML),2010-11-15,2,2010.0,11.0,2072.36,24868.32,,,,,,No
CAMCEVI KIT,LEUPROLIDE MESYLATE,Active,2027-01-16,302,Injectable,EMULSION;SUBCUTANEOUS,EQ 42MG BASE,2021-05-25,5,2021.0,5.0,2693.68,32324.16,,,,,,No
ACTOPLUS MET,METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE,Active,2027-01-22,308,Oral,TABLET;ORAL,500MG;EQ 15MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2005-08-29,4,2005.0,8.0,614.55,7374.6,,,,,,No
SUBSYS,FENTANYL,Active,2027-01-25,311,Other,SPRAY;SUBLINGUAL,0.1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2012-01-04,68,2012.0,1.0,501.74,6020.88,,,,,,No
PROCYSBI,CYSTEAMINE BITARTRATE,Active,2027-01-26,312,Oral,"CAPSULE, DELAYED RELEASE;ORAL",EQ 25MG BASE,2013-04-30,96,2013.0,4.0,297.42,3569.04,,,,,,No
KYNAMRO,MIPOMERSEN SODIUM,Active,2027-01-29,315,Injectable,SOLUTION;SUBCUTANEOUS,200MG/ML (200MG/ML),2013-01-29,1,2013.0,1.0,943.6,11323.2,,,,,,No
DUETACT,GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE,Active,2027-01-30,316,Oral,TABLET;ORAL,2MG;30MG,2006-07-28,4,2006.0,7.0,625.43,7505.16,,,,,,No
RAYALDEE,CALCIFEDIOL,Active,2027-02-02,319,Oral,"CAPSULE, EXTENDED RELEASE;ORAL",0.03MG,2016-06-17,22,2016.0,6.0,664.78,7977.36,,,,,,No
LEXISCAN,REGADENOSON,Active,2027-02-02,319,Injectable,SOLUTION;INTRAVENOUS,0.4MG/5ML (0.08MG/ML),2008-04-10,2,2008.0,4.0,2976.26,35715.12,,,,,,No
VELETRI,EPOPROSTENOL SODIUM,Active,2027-02-02,319,Injectable,INJECTABLE;INJECTION,EQ 0.5MG BASE/VIAL,2012-06-28,4,2012.0,6.0,1531.54,18378.48,,,,,,No
KYLEENA,LEVONORGESTREL,Active,2027-02-07,324,Other,SYSTEM;INTRAUTERINE,19.5MG,2016-09-16,3,2016.0,9.0,286.01,3432.12,,,,,,No
SKYLA,LEVONORGESTREL,Active,2027-02-07,324,Other,SYSTEM;INTRAUTERINE,13.5MG,2013-01-09,3,2013.0,1.0,488.21,5858.52,,,,,,No
AVMAPKI FAKZYNJA CO-PACK (COPACKAGED),AVUTOMETINIB POTASSIUM; DEFACTINIB HYDROCHLORIDE,Active,2027-02-09,326,Oral,"CAPSULE, TABLET;ORAL",EQ 0.8MG BASE;EQ 200MG BASE,2025-05-08,7,2025.0,5.0,338.56,4062.72,,,,,,No
RAPIVAB,PERAMIVIR,Active,2027-02-12,329,Injectable,SOLUTION;INTRAVENOUS,200MG/20ML (10MG/ML),2014-12-19,5,2014.0,12.0,2826.89,33922.68,,,,,,No
ALTABAX,RETAPAMULIN,Active,2027-02-14,331,Topical,OINTMENT;TOPICAL,1%,2007-04-12,1,2007.0,4.0,354.69,4256.28,,,,,,No
EUCRISA,CRISABOROLE,Active,2027-02-16,333,Topical,OINTMENT;TOPICAL,2%,2016-12-14,8,2016.0,12.0,217.28,2607.36,,,,,,No
OCALIVA,OBETICHOLIC ACID,Active,2027-02-21,338,Oral,TABLET;ORAL,5MG,2016-05-27,14,2016.0,5.0,625.61,7507.32,,,,,,No
ADVIL ALLERGY SINUS,CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,Active,2027-02-28,345,Oral,TABLET;ORAL,2MG;200MG;30MG,2002-12-19,1,2002.0,12.0,628.18,7538.16,,,,,,No
DIFICID,FIDAXOMICIN,Active,2027-03-04,349,Oral,FOR SUSPENSION;ORAL,40MG/ML,2020-01-24,20,2020.0,1.0,172.19,2066.28,,,,,,No
IBRANCE,PALBOCICLIB,Active,2027-03-05,350,Oral,CAPSULE;ORAL,75MG,2015-02-03,30,2015.0,2.0,731.79,8781.48,,,,,,No
